"ALPHA3CODE","NAME_A","NAME_C","NAME_E","NAME_F","NAME_R","NAME_S","AUTHOR"
"DMH","طُحلُب كورسيكا","科西嘉松节藻","Corsican moss","Mousse de Corse","","Musgo de Corcega","(La Tourette) Kutzing 1843"
"KMI","سِراميوم وَبَر","柔软仙菜","Velvet ceramium","Céramium cilie","","Trillo velludo","(Ellis) Ducluzeau 1809"
"YKP","ذَوَّابة جِنِّيات البحر","海洋囊枝藻","Marine bindweed","Cirre des Sirenes","","Esparraguilla","(Hudson) Batters 1902"
"KDM","","","","","","Chicorea de mar","(C. Agardh) Kützing 1843"
"SBQ","","","","","","Luga negra o cresp","(Bory) Leister 1993"
"MZL","","","","","","Luga cuchara o cor","(Bory) Fredericq 1993"
"GCH","","","","","","Pelillo","C.J. Bird, McLachlan & E.C. Oliveira"
"GDH","","","","","","","(Montagne) Santelices & Montalva 1983"
"GDX","","","","","","","Santelices & I.A.Abbott 1985"
"NOR","","","Marbled rockcod","Bocasse marbrée","Нототения мраморная","Trama jaspeada","Richardson 1844"
"NOG","","","Humped rockcod","Bocasse bossue","Нототения зеленая","Trama jorobada","(Lönnberg 1905)"
"NOS","","","Grey rockcod","Bocasse grise","Нототения серая (=сквама)","Trama gris","(Günther 1880)"
"NOA","","","Triangular rockcod","Bocasse triangulai","","Trama triangular","(Günther 1880)"
"SVE","","","Striped venus","Petite praire","","Chirla","(Linnaeus 1758)"
"HCX","","","Hard clams nei","","","",""
"HCA","","","Asiatic hard clam","Cythérée commune","","","(Linnaeus 1758)"
"SXQ","","","Fur seals nei","Otaries nca","","Lobos finos nep",""
"DNA","","","Deania dogfishes n","Squales-savates nc","","Tollos Deania nep",""
"DCA","كلب البحر أخرق","喙吻田氏鲨","Birdbeak dogfish","Squale savate","Акула лопатоносая","Tollo pajarito","(Lowe 1839)"
"ASK","","","Angelsharks, sand ","Anges de mer nca","","Angelotes, peces  ",""
"OXY","قِرش فظّ شائع","尖背角鲨","Angular roughshark","Centrine commune","","Cerdo marino","(Linnaeus 1758)"
"SHB","","","Bramble shark","Squale bouclé","","Tiburón de clavos","(Bonnaterre 1788)"
"SRX","","","Rays, stingrays, m","Raies, pastenagues","Скатообразные (скаты, хвостоколы, манты)","Rayas, pastinacas,",""
"GUZ","","","Guitarfishes nei","Guitares nca","","Guitarras nep",""
"GUD","","","Chola guitarfish","Poisson-guitare ch","","Guitarra chola","(Walbaum 1792)"
"GHA","","","Atlantic sawtail c","","","Olayo atlántico","(Vaillant 1888)"
"EXQ","","","Flying halfbeak","Demi-bec volant","","Agujeta voladora","Poey 1868"
"PQO","","","","","","",""
"REZ","","","Marlin sucker","Rémora des marlins","","Agarrador","(Cuvier 1829)"
"TWK","","","Slender ribbonfish","","","","Jordan & Snyder 1901"
"WME","","","Bass groper","","","","Phillipps 1927"
"HVU","","","Cornish blackfish","Rouffe des méduses","","Rufo de aguas mala","(Cocco 1839)"
"OVN","","","Amethyst olive","Olive mouchetée","","","(Gmelin 1791)"
"SKA","","","Raja rays nei","Pocheteaux et raie","Скаты ромбовые","Rayas raja nep",""
"RJC","","","Thornback ray","Raie bouclée","Лисица морская (=скат колючий)","Raya de clavos","Linnaeus 1758"
"RJM","","","Spotted ray","Raie douce","","Raya pintada","Fowler 1910"
"RJH","شِفنين بحري مَلْسَة","短尾鳐","Blonde ray","Raie lisse","","Raya boca de rosa","Lafont 1873"
"RJF","","","Shagreen ray","Raie chardon","","Raya cardadora","Linnaeus 1758"
"YBP","فولوت نِبتون","非洲宽口涡螺","Neptune's volute","Volute Neptune","","Voluta de Nepruno","(Lightfoot 1786)"
"MVR","","","Australasian ganne","Fou austral","","Alcatraz australia","(Gray 1843)"
"TKX","","","Dentate top shell","Troque pyramidal","","","(Forsskål 1775)"
"SXJ","","","Three-knobbed conc","Strombe tricorne","","","Humphrey 1786"
"KEV","","","Virginal murex","Murex virginal","","","(Roding 1798)"
"AWI","","","Orange filefish","Bourse orange","","Lija naranja","(Walbaum 1792)"
"FPJ","","","","","","Jerguilla","Valenciennes 1832"
"JPC","","","Chilean sandperch","Pinge chilien","","Rollizo","Valenciennes 1833"
"QAE","","","Sea plume","","","","Bayer 1961"
"IDK","","","Least brook lampre","Petite lamproie de","","","(Abbott 1860)"
"IDL","","","Western American ri...","Lamproie de riv...","","","(Günther 1870)"
"IDN","","","European brook lamprey","Lamproie de ruissea...","","","(Bloch 1784)"
"IDO","","","Western brook lamp","Lamproie occidenta","","","Vladykov & Follett 1965"
"RJT","","","Winter skate","Raie tachetée","","","Mitchill 1815"
"BHY","","","Bathyraja rays nei","Raies Bathyraja nc","","Rayas Bathyraja ne",""
"BAM","","","McCain's skate","Raie de McCain","Скат Маккейна","Raya de McCain","Springer 1971"
"BMU","","","Murray's skate","Raie de Murray","","Raya de Murray","(Günther 1880)"
"RJO","","","Longnosed skate","Pocheteau noir","","Raya picuda","Linnaeus 1758"
"RJS","","","Smooth skate","Raie lisse américa","","Raya lisa norteame","(Garman 1885)"
"RJY","شِفنين بحري دوريّة","叶鳐","Round ray","Raie ronde","","Raya redonda","Lütken 1887"
"SRR","","","Antarctic starry s","Raie étoilée ant","Скат георгианский","Raya estrellada an","Norman 1938"
"IKQ","","","Turkish brook lamp","Lamproie de ruisse","","","Kux & Steiner 1972"
"IKR","","","Pacific brook lamprey","Lamproie de ruissea...","","","Vladykov 1973"
"IDE","","","Ohio lamprey","Lamproie de l’Ohio","","","(Jordan 1885)"
"IDG","","","Chestnut lamprey","Lamproie brune","","","Girard 1858"
"IDH","","","Northern brook lamprey","Lamproie du Nord","","","Reighard & Cummins 1916"
"SDS","كلب البحر الأملس مُبَقَّش","宽鼻星鲨","Starry smooth-houn","Émissole tacheté","","Musola dentuda","Cloquet 1821"
"CCM","","","Hardnose shark","Requin à nez rude","","Tiburón trompudo","(Müller & Henle 1839)"
"CCA","","","Bignose shark","Requin babosse","","Tiburón baboso","(Springer 1950)"
"NGB","","","Lemon shark","Requin citron","","Tiburón galano","(Poey 1868)"
"SPY","","","Hammerhead sharks,","Requins marteau, e","","Cornudas, etc. nep",""
"SPL","","","Scalloped hammerhe","Requin-marteau hal","","Cornuda común","(Griffith & Smith 1834)"
"FRS","","","Fringescale sardin","Tunsoy","","Tunsoy","(Valenciennes 1847)"
"GTI","ذو الأذرُع العشر أطلسي شَمالي","大西洋蟾乌贼","Boreoatlantic gona","Encornet atlantobo","","Gonalura atlantobo","(Lichtenstein 1818)"
"YRM","ذو الأذرع العشر صائغ","宝石皮罗乌贼","Jewel enope squid","Encornet-bijoutier","","Enoploluria joyera","(Rüppell 1848)"
"YTH","ذو الأذرُع العشر قصير الأجنحة","小鳍节蛸","Smallfin gonate sq","Encornet ailes cou","","Gonalura alicorta","(Pearcey & Voss 1963)"
"GTE","ذو الأذرُع العشر شمالي هادئ","太平洋蟾乌贼","Boreopacific gonat","Encornet boréopac","","Gonalura pacificob","Sasaki 1923"
"BSR","","","Brazilian sardinel","Sardinelle de Bré","","Sardinela del Bras","(Steindachner 1879)"
"CHP","","","South American pil","Pilchard sudaméri","Сардина-сардинопс перуанская","Sardina sudamerica","de Buen 1958"
"TIL","","","Great Northern til","Tile chameau","","Blanquillo camello","Goode & Bean 1879"
"APO","","","Cardinalfishes, et","Apogonidés nca","","Peces cardenal, et",""
"ACR","","","Glow-bellies, spli","Macondes, etc. nca","","Farolitos nep",""
"FPE","","","European perch","Perche européenne","Окунь обыкновенный","Perca","Linnaeus 1758"
"STP","","","Walleyes nei","Sandres nca","","Luciopercas nep",""
"PFI","تُخس لا جناحي","少鳍鲸","Finless porpoise","Marsouin aptère","","Marsopa lisa o sin","(Cuvier 1829)"
"SRS","","","Ross seal","Phoque de Ross","","Foca de Ross","(Gray 1844)"
"MEW","حوت ذو رأس شمَّام","瓜头鲸","Melon-headed whale","Péponocéphale","","Calderón pequeño","(Gray 1846)"
"VAQ","تُخس خليج كاليفورنيا","加弯鼠海豚","Vaquita","Marsouin du golfe ","","Vaquita","Norris & McFarland 1958"
"DIW","","","Gibson's albatross","Albatros de Gibson","","Albatros de Gibson","Robertson & Warham 1992"
"BRP","تُخس بُورْمَأيَسْتير","棘鳍鼠海豚","Burmeister's porpo","Marsouin de Burmei","","Marsopa espinosa","Burmeister 1865"
"JSX","","","Rock lobsters nei","Langoustes Jasus n","","Langostas Jasus ne",""
"PVS","مرجان كَتِفِيّة","棒形牡丹珊瑚","Shoulderblade cora","Corail scapulaire","","Coral escapular","(Dana 1846)"
"TDS","","","Fluted giant clam","Grande tridacne ga","","","Lamarck 1819"
"CTC","","","Common cuttlefish","Seiche commune","","Sepia común","Linnaeus 1758"
"DOR","كلامة ميقَت","斧蛤","Dosinia clam","Clam montre","","Almeja reloj","Dunker 1845"
"RAZ","","","Solen razor clams ","Couteaux Solen nca","","Navajas Solen nep",""
"RAP","","","Pacific razor clam","Couteau du Pacifiq","","Navaja del Pacífi","(Dixon 1789)"
"CFB","كلب البحر أسود","黑霞鲨","Black dogfish","Aiguillat noir","Акула черная собачья Фабрициуса","Tollo negro merga","(Reinhardt 1825)"
"OXN","قِرش فظّ زِعنفة قِلع","帆鳍尖背角鲨","Sailfin roughshark","Humantin","","Cerdo marino veler","Frade 1929"
"EJK","حبارة مُذَهَّبة","金乌贼","Golden cuttlefish","Seiche dorée","","Sepia dorada","Hoyle 1885"
"EIQ","حُبارة كوبية","神户乌贼","Kobi cuttlefish","Seiche kobi","","Sepia kobi","Hoyle 1885"
"EJX","حبارة كبيرة الأيادي","宽体乌贼","Broadclub cuttlefi","Seiche grandes mai","","Sepia mazuda","Quoy & Gaimard 1832"
"IAL","حُبارة أُخطُبوط","长臂乌贼","Longarm cuttlefish","Seiche pieuvre","","Sepia brazolargo","Sasaki 1913"
"IAO","حُبارة عنكبوت","蛛形乌贼","Spider cuttlefish","Seiche araignée","","Sepia loriga","Wülker 1910"
"EJB","حُبارة إفريقية","非洲乌贼","African cuttlefish","Seiche africaine","","Sepia africana","d’Orbigny 1835"
"EJD","حُبارة مادوكاي","马氏乌贼","Madokai's cuttlefi","Seiche madokai","","Sepia madokai","Adam 1939"
"CZX","","","Caridina shrimps n","Saltarelles nca","","Caridinas nep",""
"HQX","","","","","","",""
"TZX","","","","","","",""
"LVX","","","","","","",""
"NGX","","","","","","",""
"BWX","","","","","","",""
"YHX","","","","","","",""
"KHU","خَيْتون مَفْصِلِيّ ","铰链石鳖","Articulate chiton","Chiton articulé","","Quiton articulado","Sowerby 1832"
"KHS","خَيْتُون سْطُوكْس ","施氏石鳖","Stoke's chiton","Chiton de Stokes","","Quiton de Stokes","Broderip 1832"
"KPQ","","","West Indian fuzzy ","","","","(Gmelin 1791)"
"POL","","","Pollack","Lieu jaune","","Abadejo","(Linnaeus 1758)"
"GDE","","","Threadfin rockling","Mustèle arctique ","Налим морской северный","","(Reinhardt 1837)"
"BIB","تاكود شائع","条长臂鳕","Pouting(=Bib)","Tacaud commun","","Faneca","(Linnaeus 1758)"
"HKX","","","Hakes nei","Merlus nca","Мерлузы","Merluzas nep",""
"HKE","","","European hake","Merlu européen","Мерлуза восточноатлантическая","Merluza europea","(Linnaeus 1758)"
"NLK","","","Northern red chito","","","","(Linnaeus 1767)"
"KCQ","","","Portobelo chiton","","","","Ferreira 1976"
"IKB","","","Atlantic rose chit","","","","Haddon 1886"
"NYN","","","Eastern hanleya","","","","(Bean 1844)"
"KPT","","","Eastern beaded chi","","","","(Say 1834)"
"CZQ","","","Eastern surf chito","","","","(C.B. Adams 1845)"
"LFY","","","Pacific veiled chi","","","","S. S. Berry 1919"
"KKD","","","Smooth glass-hair ","","","","Watters 1981"
"KDN","","","Glisten-worm solen","","","","Heath 1911"
"GDY","","","Japanese isinglass","","","","(Lamouroux) Lamouroux 1813"
"KQB","","","Sea mustard","","","","Harvey 1860"
"UIO","","","Crowned sea bell","","","","J. Agardh 1848"
"IYJ","أَريج آنطي","蕨状网翼藻","Sweet-smelling sea","Parfum d'Antée","","Cayado amarillo","(De Candolle) J.V. Lamouroux 1809"
"GDK","","","","","","","Kützing 1868"
"MVQ","","","","","","","(Kjellman) Perestenko 1980"
"KDW","","","","","","","Holmes 1895"
"KDZ","","","","","","","Holmes 1895"
"KDI","","","","","","","(Harvey) Okamura 1930"
"YEH","","","","","","","J.V.Lamouroux 1813"
"YND","","","","","","","Kützing"
"ANI","","","Mackerel icefish","Poisson des glaces","Ледяная рыба (=белокровка Гуннара)","Draco rayado","Lönnberg 1905"
"HKN","","","Southern hake","Merlu austral","Мерлуза новозеландская","Merluza austral","(Hutton 1872)"
