"ALPHA3CODE","NAME_A","NAME_C","NAME_E","NAME_F","NAME_R","NAME_S","AUTHOR"
"EPK","لُؤز بُقعة طهب","地中海石斑鱼","Goldblotch grouper","Mérou badèche","","Falso abadejo","(Steindachner 1878)"
"EPY","لُؤز أزرق مُرَقَّش","细点石斑鱼","Speckled blue grou","Mérou bleu","","Mero azul","(Richardson 1846)"
"ESE","لُؤز قَرَبوس خَلْفي","戴氏石斑鱼","Saddletail grouper","Mérou troussequin","","Mero montado","(Günther 1876)"
"ELD","لُؤز مُشَوَّك","双棘石斑鱼","Spinycheek grouper","Mérou épineux","","Mero espinudo","(Valenciennes 1828)"
"EPG","","","Black snook","","","","Günther 1864"
"EPP","","","Fat snook","","","","Poey 1860"
"EPS","","","Tarpon snook","","","","Poey 1860"
"EPL","","","Yellowfin snook","","","","Jordan & Gilbert 1882"
"EPJ","","","Union snook","","","","Bocourt 1868"
"ENN","","","Orangeback angelfi","","","","(Norman 1922)"
"ENO","","","Yellowhead angelfi","","","","Smith-Vaniz & Randall 1974"
"CYK","كلب البحر ناعم","浦原氏霞鲨","Bareskin dogfish","Aiguillat lisse","","Tollo negro liso","Abe 1966"
"CYN","كلب البحر أسنان مشطِية","白印霞鲨","Combtooth dogfish","Aiguillat peigne","","Tollo negro peine","Garman 1899"
"CYR","كلب البحر أبيض الأجنِحة","白边霞鲨","Whitefin dogfish","Aiguillat à nageo","","Tollo negro alibla","Jordan & Fowler 1903"
"CYU","قرش أُسترالي","澳大利亚荆鲨","Plunket shark","Pailona austral","","Pailona austral","(Waite 1910)"
"PHH","","","","","","","Herre 1924"
"LSE","","","","","","","(Bleeker 1852)"
"CFL","مًَخروطي خَشْرم","加勒比九棘鲈","Graysby","Coné essaim","","Cherna enjambre","(Lacépède 1802)"
"CEE","قِرش حزين فُسَيفِساء","锯刺刺鲨","Mosaic gulper shar","Squale-chagrin mos","","Quelvacho mosaico","Garman 1906"
"CFP","","","Horned lantern fis","","","","Regan & Trewavas 1932"
"CQO","","","Chilean grenadier","","","Pejerrata","Gilbert & Thompson 1916"
"BNN","","","","","","","Günther 1864"
"BNO","","","","","","","(Valenciennes 1850)"
"STL","أنشوفة مُغامرة","布氏半棱鳀","Buccaneer anchovy","Anchois boucanier","","Boquerón bucanero","Fowler 1938"
"EDN","","","Tidepool gunnel","","","","(Temminck & Schlegel 1845)"
"ENL","","","","","","","(Günther 1868)"
"EGS","","","Speckled-tail flou","","","","Jordan & Bollman 1890"
"EPE","","","Electric eel","","","","(Linnaeus 1766)"
"EIC","","","Cable's goby","","","","Ginsburg 1933"
"EOF","","","Dusky sleeper","","","","(Schneider & Forster 1801)"
"EOP","","","Spotted sleeper","","","","Kner & Steindachner 1863"
"EOV","","","","","","","Duméril 1861"
"EHS","","","","","","","(Valenciennes 1837)"
"EHT","زعنفة رقيقة ذات ثلاثة أصابع","三趾四指马鲅","Threefinger thread","Barbure à trois d","","Barbudo de tres de","(Bleeker 1849)"
"EKJ","","","","","","","(Ogilby 1908)"
"ELL","","","","","","","(Vaillant 1902)"
"ELM","","鳡","Yellowcheek","","","","(Richardson 1845)"
"CEI","","","Pacific ladyfish","","","","Regan 1909"
"CEW","","","Hawaiian ladyfish","","","","Regan 1909"
"CEC","","","West African ladyf","Guinée d'Afrique ","","Malacho de Africa ","Valenciennes 1847"
"EEH","","","Tasmanian codling","","","","Paulin 1986"
"EGO","","","","","","","Randall 1994"
"CEF","إسبرط مالابار","南亚多棱圆鲱","Malabar sprat","Sprat de Malabar","","Sardina de Malabar","Deraniyagala 1929"
"EIH","","","","","","","(Steindachner 1878)"
"EIV","","","Glass knifefish","","","","(Valenciennes 1847)"
"EIM","","","","","","","(Cope 1878)"
"AEE","","","Toothless smooth-h","","","","(Alcock 1892)"
"EIO","","","","","","","Schultz 1959"
"EKM","","","Reefsand blenny","","","","Stephens 1963"
"EJS","","","Spotback goby","","","","Bussing 1981"
"EXG","","","","","","","Weitzman & Kanazawa 1978"
"AOV","","","","","","","(Richardson 1848)"
"ESK","","","Carolina pygmy sun","","","","Rohde & Arndt 1987"
"ELI","","","Dwarf flathead","","","","(Steindachner 1876)"
"ELH","","","Bluestreak drum","","","","(Jordan & Gilbert 1882)"
"ELN","","","","","","","(Günther 1878)"
"ELR","سمك قانوس كهربائي","高体电灯鱼","Electric lantern f","Étincelle","","Chispa","(Cocco 1829)"
"EBV","","","","","","","Sakamoto 1932"
"EBG","","","","","","","Herre 1946"
"EBK","","","","","","","(Döderlein 1884)"
"AOM","","","Painted eel","","","","(Linnaeus 1758)"
"OTS","قُضاعة بحر أمريكا الشمالية","海獭","Sea otter","Loutre de mer d'Am","","Nutria marina","(Linnaeus 1758)"
"BJI","تُخس نهري للصِّين","白暨豚","Baiji","Dauphin fluviatil ","","Platanista del Yan","Miller 1918"
"LTG","","","Tanganyika lates","","","","Boulenger 1906"
"LTO","","","Albert lates","","","","Worthington 1929"
"LSM","","","Bigeye lates","","","","Steindachner 1909"
"LSL","","","Forktail lates","","","","Boulenger 1898"
"CLC","","","Coelacanth","","","","Smith 1939"
"LRL","","","Striped trumpeter","","","","(Forster 1801)"
"LVE","","","Hitch","","","","Baird & Girard 1854"
"DAC","","","Cape petrel","Damier du Cap","","Petrel darnero","(Linnaeus 1758)"
"EGM","سمك-حُسام صغير الرَّاس","小带鱼","Smallhead hairtail","Poisson-sabre asba","","Pez sable asbas","(Gray 1831)"
"EUP","قِرش قزِميّ","白边小鳍鲨","Pygmy shark","Squale pygmée","","Tollo pigmeo","(Quoy & Gaimard 1824)"
"EHL","","","Long-tailed catfis","","","","(Günther 1864)"
"EUH","","","","","","","Reis & Schaefer 1992"
"EYL","","","Oriental sole","","","","(Bloch & Schneider 1801)"
"EYU","","","Smoothcheek sculpi","","","","Gilbert & Burke 1912"
"EYC","","","Short dragonfish","","","","(Linnaeus 1766)"
"SEX","","","Pelican eel","","","","Vaillant 1882"
"EUW","","","","","","","(Matsubara 1953)"
"EUI","","","Longfin silverside","","","","(Jordan & Gilbert 1882)"
"EUR","","","","","","","Zugmayer 1911"
"EUF","","","","","","","Regan & Trewavas 1930"
"EUO","","","","","","","Parr 1927"
"EUQ","","","","","","","Vaillant 1884"
"EUN","","","","","","","Zugmayer 1913"
"ESG","","","","","","","Jordan & Snyder 1901"
"MEF","","","Festive ribbonfish","","","","(Bertelsen & Marshall 1956)"
"ORE","قِرش-بِساط بِلِحيَة","叶须鲨","Tasselled wobbegon","Requin-tapis barbu","","Tapicero barbudo","(Bleeker 1867)"
"EUK","","","Persimmon eelpout","","","","(Starks & Mann 1911)"
"EBW","","","Tidewater goby","","","","(Girard 1856)"
"LAF","","","Ukrainian brook la","Lamproie ukrainien","","","(Berg 1931)"
"EGX","","","Black axillary moj","","","","(Günther 1864)"
"EUT","","","","","","","Boulenger 1898"
"ELW","","","","","","","Okada & Suzuki 1954"
"LEK","","","Unicorn crestfish","","","","(Günther 1890)"
"EBR","","","","","","","(Poey 1860)"
"EGG","سمك التِّرس كبير القِشرات","大鳞短额鲆","Largescale flounde","Perpeire à grande","","Lenguado escamoso","(Temminck & Schlegel 1846)"
"ENK","","","","","","","(Bleeker 1863)"
"EHC","","","Blackbanded sunfis","","","","(Baird 1855)"
"CEV","","","Tenpounder","","","","(Forsskål 1775)"
"CEG","","","Senegalese ladyfis","Guinée du Sénég","","Malacho senegalés","Regan 1909"
"EBH","","","Deep-sea sole","","","","(Gilbert 1890)"
"EBJ","","","Black perch","","","","Agassiz 1853"
"EBT","","","Banner blenny","","","","Jordan & Evermann 1898"
"EBB","","","Blackhead blenny","","","","Stephens 1961"
"IEA","","","Bonnetmouth","","","","Schultz 1945"
"GEE","","","Ash Meadows killif","","","","Gilbert 1893"
"AAX","","","","","","","Rainboth 1991"
"AJS","","","Starry triggerfish","Baliste étoilé","","Pejepuerco estrell","(Bloch & Schneider 1801)"
"ABB","","棒花鱼","Chinese false gudgeon","","","","(Basilewsky 1855)"
"ABW","","","Redskinfish","","","","(Peters 1855)"
"BAF","","","Flat needlefish","Orphie plate","","Agujón sable","(Valenciennes 1846)"
"ABE","","","","","","","Hora 1921"
"ABK","","","White bream","","Густера","","(Linnaeus 1758)"
"ABQ","","","","","","","(Steindachner 1878)"
"NBI","","","Spinyhead blenny","","","","Metzelaar 1919"
"AYX","","","","","","","Spix & Agassiz 1829"
"AHS","","","","","","","Tortonese 1952"
"AHT","","","Kinneret bleak","","","","Steinitz 1952"
"ABN","","","","","","","Friel 1995"
"ACV","","","Bandfish","","","","(Valenciennes 1835)"
"SUK","","","","","","","Gill 1884"
"AIL","","","Spiny chromis","","","","(Bleeker 1855)"
"AHI","","","","","","","Nichols & Griscom 1917"
"AIF","","","","","","","Jenyns 1842"
"BTO","","","Mottled loach","","","","(Hamilton 1822)"
"NTM","","","Talking catfish","","","","(Eigenmann & Eigenmann 1888)"
"ACG","","","","","","","(Richardson 1845)"
"AKL","","","Scale-rayed wrasse","","","","(Valenciennes 1839)"
"TLD","","","St. Paul's fingerf","","","","(Carmichael 1819)"
"IBU","","","Dusky sculpin","","","","Evermann & Goldsborough 1907"
"HYU","","","","","","","Hoedeman 1962"
"HYT","","","","","","","(Günther 1866)"
"HYB","","","Benoit's lanternfi","","","","(Cocco 1838)"
"HXS","","","","","","","(Fowler 1949)"
"HYS","","","Glasshead grenadie","","","","Giglioli 1884"
"HYN","","","Northern hog sucke","","","","(Lesueur 1817)"
"HYE","","","","","","","Roberts 1991"
"HPV","","","Sandy sprat","","","","(Castelnau 1875)"
"OMU","","","","","","","(Lacépède 1803)"
"YEI","","","Greater sand-eel","","","","(Corbin 1950)"
"HRE","","","Spotfin surfperch","","","","Agassiz 1861"
"HSX","","","Calypso tetra","","","","(Travassos 1959)"
"HSH","","","Black neon tetra","","","","Géry 1961"
"HYQ","","","Oyster blenny","","","","(Günther 1861)"
"TTP","","","Australian numbfis","","","","(Shaw 1795)"
"HYO","","","Barnes' silverside","","","","Schultz 1953"
"HDF","","","","","","","Eigenmann 1925"
"HDU","","","","","","","(Temminck & Schlegel 1843)"
"THH","قِرش كلب أنيق","黑边翅鲨","Blacktipe tope","Requin-hâ éléga","","Cazón elegante","(Miyosi 1939)"
"HYX","","","Bumblebee fish","","","","(Bleeker 1849)"
"HBZ","سلطعون أزغب","绒毛长蟹","Hair crab","Crabe velu","Краб волосатый четырехугольный","Cangrejo peludo","(Brandt 1848)"
"SWP","ديلزيا لَحْمِيَّة","肉色红藻","Fleshy dilsea","Dilsea charnue","","Dilsea carnosa","(Schmidel) Kuntze 1898"
"BNP","","","Mourning tetra","","","","Müller & Troschel 1845"
"LFV","","","Florida gar","","","","DeKay 1842"
"YJV","","","","","","","Eakin 1987"
"SAJ","","","","","","","(Steindachner 1892)"
"OAG","","","","","","","Nielsen 1977"
"AEZ","","","","","","","Taliev 1955"
"AHD","","","","","","","(Smith & Radcliffe 1913)"
"IMY","","","Paraguayan caiman","","","","(Daudin 1802)"
"FOI","","","Indian rice frog","","","","Boie 1835"
"FOU","","","","","","","Duméril & Bibron 1841"
"FOV","","","","","","","Hewitt 1927"
"FOY","","","","","","","Boulenger 1920"
"FRH","","","Indian green frog","","","","Lesson 1834"
"FRM","","","","","","","Stejneger 1909"
"FRK","","","Crab-eating frog","","","","Gravenhorst 1829"
"FRT","","","Asiatic bull frog","","","","Daudin 1802"
"YDK","","","Annulated sea snak","","","","Daudin 1803"
"FOP","","","Indian skipper fro","","","","Schneider 1799"
"FGT","","","Common frog","","","","Linnaeus 1758"
"FGM","","","Agile frog","","","","Bonaparte 1840"
"FGK","","","European frog","","","","Linnaeus 1758"
"FGL","","","","","","","Camerano 1882"
"FGI","","","European green fro","","","","Pallas 1771"
"FQC","","","","","","","(Garman 1875)"
"AYK","","","Common slider","","","","(Schoepff 1792)"
"AYW","","","Diamondback terrap","","","","(Schoepff 1793)"
"DKK","سُلحفاة بحريَّة","棱波龟","Leatherback turtle","Tortue luth","","Tortuga laud","(Vandelli 1761)"
"FOS","","","","","","","Jerdon 1853"
"NCQ","","","Scrawled cowfish","","","","(Linnaeus 1758)"
"AQB","","","Ocean surgeon","","","","Castelnau 1855"
"AQR","","","Black-spot surgeon","","","","Lesson 1831"
"AQH","","","Doctorfish","","","","(Bloch 1787)"
"AQO","","","Blue tang surgeonf","","","","Bloch & Schneider 1801"
"AQI","","","Lined surgeonfish","","","","(Linnaeus 1758)"
"EHQ","","","Beaked sea snake","","","","(Daudin 1803)"
"MHW","","","Black caiman","","","","(Spix 1825)"
"AJK","","","Stokes' sea snake","","","","(Gray 1846)"
"UCI","","","Smooth-fronted cai","","","","(Schneider 1801)"
"YUU","","","American crocodile","","","","(Cuvier 1807)"
"YUK","","","Slender-snouted cr","","","","Cuvier 1825"
"YUN","","","Orinoco crocodile","","","","Graves 1819"
"YUQ","","","Philippine crocodi","","","","Schmidt 1935"
"KKU","","","Mugger crocodile","","","","Lesson 1831"
"OSW","","","African dwarf croc","","","","Cope 1861"
"FRQ","","","River frog","","","","Wright 1924"
"FGC","","","Greek frog","","","","Boulenger 1891"
"XUL","","","African clawed fro","","","","(Daudin 1802)"
"YUC","","","","","","","(Linnaeus 1758)"
"YUE","","","","","","","(Laurenti 1768)"
"KUO","","","","","","","(Boulenger 1906)"
"YXD","","","African bull frog","","","","Tschudi 1838"
"GFO","","","","","","","Günther 1868"
"MLQ","","","Trout cod","","","","(Cuvier 1829)"
"MCV","","","Speckled chub","","","","(Girard 1856)"
"ACM","","","","","","","Fowler 1934"
"MCO","","","Long pectoral-fin ","","","","(Valenciennes 1844)"
"LCE","","","Asian bumblebee ca","","","","Regan 1913"
"LCH","","","Lavender sculpin","","","","Girard 1856"
"LGL","","","Twoblotch ponyfish","","","","(Valenciennes 1835)"
"LGA","","","Goldstripe ponyfis","","","","(Cuvier 1829)"
"LGU","","","Dussumier's ponyfi","","","","(Valenciennes 1835)"
"LGE","","","Common ponyfish","","","","(Forsskål 1775)"
"LGS","","","Striped ponyfish","","","","(Lacépède 1803)"
"LGP","","","Splendid ponyfish","","","","(Cuvier 1829)"
"LYP","","","","","","","Parr 1928"
"LYJ","","","","","","","(Johnson 1890)"
"LYN","","","Tanganyika killifi","","","","(Boulenger 1898)"
"LAI","","","Southern opah","","Опах низкотелый","","Gilchrist 1904"
"LMG","","","Longfin codling","","Лимонема длинноперая","","Schmidt 1938"
"LKU","","","Clear fin-base flo","","","","Fowler 1934"
"LTV","","","","","","","(Cope 1870)"
"CDK","","","Roundbelly pellonu","","","","Poll, Whitehead & Hopson 1965"
"LFH","","","Diamondback puffer","","","","Miranda-Ribeiro 1915"
"LFL","","","Smooth puffer","","","","(Linnaeus 1766)"
"LGH","","","Oceanic puffer","Compère océanique","","Tamboril liebre","(Linnaeus 1758)"
"LFW","","","","","","","Abe, Tabeta & Kitahama 1984"
"LAL","","","Harelip sucker","","","","Jordan & Brayton 1877-78"
"LGO","","","Pinfish","","","","(Linnaeus 1766)"
"LWG","","","Czekanowski's minn","","","","Dybowski 1869"
"LGM","","","","","","","(Bleeker 1860)"
"LDH","","","","","","","(Bleeker 1852)"
"LFM","","","Spotty blenny","","","","Smith 1955"
"AOQ","","","","","","","(Bleeker 1853)"
"LTR","","","","","","","Taphorn & Lilyestrom 1984"
"LDC","","","","","","","Collett 1905"
"LDS","","","","","","","Goode & Bean 1896"
"LDU","","","","","","","Maul 1969"
"LAC","","","Lantern fish","","","Pez linterna","Andriashev 1962"
"LPL","","","","","","","Goode & Bean 1896"
"LPY","","","","","","","Tåning 1928"
"LYD","سمكة قانوسية تِمساح","鱼噩珍灯鱼","Jewel lanternfish","Lanterne crocodile","","Madre de la anchoa","(Risso 1810)"
"LYU","","","","","","","Tåning 1928"
"LYF","","","","","","","Tåning 1928"
"LYI","","","","","","","Tåning 1928"
"LYL","","","","","","","Tåning 1928"
"LYO","","","","","","","(Goode & Bean 1896)"
"USB","","","Ballan wrasse","Vieille commune","","Maragota","Ascanius 1767"
"USI","","","Cuckoo wrasse","Vieille coquette","","Gallano","Linnaeus 1758"
"LHF","","","","","","","Fraser & Struhsaker 1991"
"AMK","","","Bayer's moray","","","","(Schultz 1953)"
"AMR","","","Leopard moray eel","","","","(Temminck & Schlegel 1846)"
"AMQ","","","","","","","(Quoy & Gaimard 1824)"
"ENC","","","Fourbeard rockling","Motelle à quatre ","","","(Linnaeus 1766)"
"YUT","","","Black blenny","","","","(Günther 1877)"
"END","أنشوفة دوفِيس","戴氏半棱鳀","Devis' anchovy","Anchois devis","","Boquerón de DeVis","(Whitley 1940)"
"EOB","","","","","","","(Steindachner 1909)"
"THI","","","Congo sea catfish","","","","(Steindachner 1877)"
"TCS","","","Giant barb","","","","Boulenger 1898"
"PNN","","","Wimple piranha","","","","(Cuvier 1819)"
"ATC","","","Longnose sucker","","","","(Forster 1773)"
"ATO","","","White sucker","","","","(Lacépède 1803)"
"ATS","","","Flannelmouth sucke","","","","Baird & Girard 1853"
"ATU","","","Largescale sucker","","","","Girard 1856"
"ATE","","","Tahoe sucker","","","","Gill & Jordan 1878"
"ULA","","","Bighead tilefish","","","","Gill 1865"
"ULM","","","Grey tilefish","Tile gris","","Blanquillo lucio","Goode & Bean 1878"
"CCU","","","Australian blackti","","","","(Whitley 1950)"
"CCW","قِرش ذو الذّيل الأسود","韦氏真鲨","Blacktail reef sha","Requin à queue no","","Tiburón coralero ","Garrick 1982"
"LOU","","","Indian sand tiger","","","","Day 1878"
"DXS","","","","","","","Poll 1942"
"CAY","","","","","","","Gilbert & Burke 1912"
"CFU","","","","","","","Gilbert & Burke 1912"
"CJO","","","","","","","Burke 1930"
"CXM","","","Blacktail snailfis","","","","Gilbert 1892"
"KAO","","","","","","","(Tirant 1885)"
"CFG","","","","","","","Jensen 1941"
"CXA","","","","","","","(Eigenmann 1913)"
"UBK","","","","","","","(Hubbs 1936)"
"GCM","","","Blackwing hatchetf","","","","Myers 1927"
"CDO","","","River carpsucker","","","","(Rafinesque 1820)"
"OEN","","","","","","","(Heincke 1892)"
"IUV","","日本白鲫","Japanese white cruc...","","","","Temminck & Schlegel 1846"
"CCY","قِرش نحيف","钝吻真鲨","Graceful shark","Requin gracile","","Tiburón grácil","(Whitley 1934)"
"AML","قِرش الحَشَفَة الرَّمادية","黑尾真鲨","Grey reef shark","Requin dagsit","","Tiburón de arreci","(Bleeker 1856)"
"CCF","قرش كبير العين","高鳍真鲨 ","Pigeye shark","Requin balestrine","","Tiburón baleta","(Müller & Henle 1839)"
"OVF","زيتونة رُخامِيّة","帐篷榧螺","Tent olive","Olive marbrée","","Oliva veteada","(Linnaeus 1758)"
"DSD","مُلتَوِئَة مُتَقَاطِعة","纲目扭法螺","Decussate distorsi","Distortie croisée","","Distorsio decusado","(Valenciennes 1832)"
"FNG","صحنِيَّة مُزَيَّفة ضخمة","大王松螺","Giant false limpet","Siphonaire géante","","Sifonaria gigante","Sowerby 1825"
"SZW","","","Senegal needlefish","Aiguillette sénéga","","Agujón senegalés","(Valenciennes 1846)"
"KZY","","","Sicklefin mullet","Mulet à grandes na","","Liza aletona","(Valenciennes 1836)"
"TUW","سِمِل شيلية","厚壳双带蛤","Chilean semele","Sémèle chilienne","","Almeja blanca chil","(Gray 1828)"
"QRS","زعنفة رقيقة جميلة","蕞丝鮨马鲅","Splendid threadfin","Barbure magnifique","","Barbudo espléndid","Feltes 1991"
"QRU","زعنفة رقيقة سبعة أصابع هندية","真丝鮨马鲅","Indian sevenfinger","Barbure sept doigt","","Barbudo de siete d","Feltes 1991"
"QRY","زعنفة رقيقة جنَّة قزم","维氏副马鲅","Dwarf paradise fis","Barbure paradis na","","Barbudo paraíso e","(Saville-Kent 1889)"
"QSF","زعنفة رقيقة أصابع طويلة","长翅多指马鲅","Long-limb threadfi","Barbure longs-doig","","Barbudo de dedos l","Motomuro, Okamoto & Iwatsuki 2001"
"QSK","زعنفة رقيقة ذات بقعة سوداء إفريقية","非洲黑斑多指马鲅","African blackspot ","Barbure tâche noi","","Barbudo mancha neg","Motomuro & Iwatsuki 2001"
"QSW","زعنفة رقيقة ذات بقعة سوداء عربية","阿拉伯黑斑多指马鲅","Arabian blackspot ","Barbure à tâche ","","Barbudo de mancha ","(Hora 1926)"
"USW","بَبَّغاء الخليج","桃鹦嘴鱼","Gulf parrotfish","Perroquet du Golfe","","Loro del Golfo","Randall & Bruce 1983"
"KKK","شُقّار مُقرَّن الذَّنَب","隐身丽海葵","Hermit anemone","Anemone du Pagure","","Anemona del ermita","(Couch 1838)"
"CWA","","","Black-Caspian Sea ","Clupeonelle nca","Тюльки (=каспийские кильки)","Espadínos Mar Neg",""
"KVV","","","Red vermillion cra","Crabe royal vermil","Краб-стригун Веррилла","Centolla rojo berm","(Benedict 1894)"
"TZD","","","Semah mahseer","","Махсир","","(Valenciennes 1842)"
"IDC","سَوْسَنَة أو إيريديا","心形银杏藻","Iridea","Iridée","","Iridea","(Turner) Bory 1826"
"YBW","","","Yellow bass","","","","Jordan & Eigenmann 1887"
"HSS","","","Yellow chromis","","","","(Cuvier 1830)"
"CMK","","","Damselfish","","","","(Linnaeus 1758)"
"HUR","","","Valparaiso chromis","","","","(Valenciennes 1833)"
"HRC","","","Peruvian chromis","","","","Evermann & Radcliffe 1917"
"HRJ","","","Blacksmith","","","","(Cooper 1863)"
"CBQ","","","Chestnut goby","","","","(Steindachner 1863)"
"BCY","","","","","","","(Geoffroy St. Hilaire 1808-1809)"
"BCR","","","Kibonde","","","","Boulenger 1900"
"MDW","","","Largetooth goby","","","","Herre 1936"
"MRE","","","","","","","(Bloch 1786)"
"MCF","","","","","","","Ege 1933"
"MFB","","","Rare wrasse","","","","Smith 1957"
"LUV","عصموديّ ماوري","蓝点笛鲷","Blubberlip snapper","Vivaneau maori","","Pargo maorí","(Cuvier 1828)"
"LUF","","","Yellow-lined snapp","","","","(Valenciennes 1830)"
"LUJ","عصموديّ ذورُقعة بُنِّية","画眉笛鲷","Brownstripe red sn","Vivaneau à bande ","","Pargo bitilla","(Quoy & Gaimard 1824)"
"LTJ","","","Silk snapper","Vivaneau soie","","Pargo de lo alto","(Cuvier 1828)"
"LVM","","","Luvar","","","","Rafinesque 1810"
"LXC","","","Striped shiner","","","","(Rafinesque 1820)"
"LXO","","","Common shiner","","","","(Mitchill 1817)"
"LZE","","","","","","","Randall 1981"
"LYV","","","","","","","Toyoshima 1985"
"YCV","","","Wolf eelpout","","","","(Goode & Bean 1877)"
"ELB","","","Bates' sabretooth ","","","","(Günther 1868)"
"LYK","","","","","","","Andriashev 1935"
"LCD","","","","","","","Nielsen & Fosså 1993"
"LCT","","","Arctic eelpout","","","","Reinhardt 1835"
"LCN","","","","","","","Pappenheim 1911"
"LCG","","","","","","","(Jensen 1902)"
"LJK","عصموديّ غادُس أسمر","单斑笛鲷","One-spot snapper","Vivaneau églefin","","Pargo eglefino","(Cuvier 1828)"
"LCJ","","","","","","","Soldatov & Lindberg 1929"
"LNA","","","Bearded eelpout","","","","Gilbert 1896"
"LYG","","","","","","","Gilchrist 1922"
"LYB","","","","","","","Holt & Byrne 1906"
"ELO","","","Sabretoothed thrys","","","","(Bleeker 1851)"
"LZG","","","","","","","Popov 1933"
"LYR","","","Cherryfin shiner","","","","(Hay 1885)"
"LJC","عصموديّ كولورادو","柯洲笛鲷","Colorado snapper","Vivaneau amarante","","Pargo rojo","Jordan & Gilbert 1882"
"LJY","","","Cubera snapper","Vivaneau cubera","","Pargo cubera","(Cuvier 1828)"
"LJD","عصموديّ ضامة","横带笛鲷","Checkered snapper","Vivaneau damier","","Pargo ajedrezado","(Cuvier 1828)"
"LJE","عَصموديّ بُنّي لإفريقيا","褐笛鲷","African brown snap","Vivaneau brun d'Af","","Pargo marrón afri","(Duméril 1861)"
"LJT","عصموديّ أُرجُوان","红鳍笛鲷","Crimson snapper","Vivaneau cramoisi","","Pargo carmesí","Bloch 1790"
"LJF","","","Dory snapper","Vivaneau gibelot","","Pargo tintero","(Forsskål 1775)"
"OMH","","","Elephantnose fish","","","","(Günther 1862)"
"CGN","","","","","","","(Jordan & Snyder 1901)"
"GNA","","","","","","","(Sauvage 1883)"
"EXR","","","Leopard blenny","","","","(Kner 1868)"
"EXD","","","","","","","DeWitt  1977"
"EXS","","","Sargassum blenny","","","","(Jenkins & Evermann 1889)"
"EXA","","","Threespot torpedo","","","","(Oliver 1989)"
"RSW","تخس عديم الجناح أُسترالي","南露脊海豚","Southern right wha","Dauphin aptère au","","Delfín liso austr","(Lacépède 1804)"
"SMM","فُقمة ناسكة البحر الأبيض المتوسِّط","僧海豹","Mediterranean monk","Phoque moine de M ","","Foca monje del Med","(Hermann 1779)"
"ASL","أسد بحر أُستراليا","新海豹","Australian sea lio","Lion de mer d'Aust","","Lobo marino de Aus","(Péron 1816)"
"NSL","أسد البحر زيلاندا الجديدة","胡氏海狗","New Zealand sea li","Lion de mer de N.l","","Léon marino de Nu","(Gray 1844)"
"GNS","تُخس نهرالغانْج","恒河喙豚","Ganges River dolph","Plataniste du Gang","","Platanista del Gan","(Roxburgh 1801)"
"TUC","صُطاليا نهرية","白海豚","Tucuxi","Sotalia","","Bufeo negro","(Gervais 1853)"
"DHA","تُخَس ذو حَدَبَة للمحيط الأطلسي","托氏海豚","Atlantic hump-back","Dauphin à bosse d","","Delfín jorobado d","(Kukenthal 1892)"
"DPN","تُخس مُبَقَّع شِِبه اسْتِوائي","热带点斑原海豚","Pantropical spotte","Dauphin tacheté p","","Estenela moteada","(Gray 1846)"
"RTD","تخس ذو أسنان قويَّة","糙齿长吻原海豚","Rough-toothed dolp","Sténo","","Esteno","(Lesson 1828)"
"KJC","شُقّار حِزام","束腰海葵","Girdle anemone","Anemone-ceinture","","Anemona cari","Delle Chiaje 1827"
"NOW","شَقّار البحر الشّائعة ","畦形银莲花","Snakelocks anemone","Anemone de mer","","Anemona de mar com","(Pennant 1766)"
"OBX","مُرِّيق طول الحاجز","树篱秣螺","Hedge hog murex","Murex érinace","","Cornetilla","(Linnaeus 1758)"
"YCG","مرجان فُطر مُقَوَّس","弧形圆石芝珊瑚","Curved mushroom co","Corail champignon ","","Coral callampa arq","(Verrill 1870)"
"OPJ","قِرش بِساط سَرْج","日本橙黄鲨","Saddle carpetshark","Requin carpette ch","","Alfombrera japones","Kamohara 1943"
"AOJ","","","","","","","Schultz 1953"
"AMF","","","","","","","Chen & Shao 1995"
"IRL","","","","","","","(Ogilby 1899)"
"ADZ","","","","","","","Eastman & Eakin 1999"
"AVT","","","Southern ocean dag","","","","(Regan 1913)"
"YJO","","","","","","","Eakin 1987"
"LZB","","","","","","","(DeWitt 1962)"
"MGH","صَدَفة بِرميل المُحيط الهادِئ","缺口苹果螺","Pacific cask shell","Tonnelet du Pacifi","","Caracol bola","(Swainson 1822)"
"KDH","أرصوصة  تِيغِينِيَّة","多皱冠螺","Rugose bonnet","Casque tyrrhenien","","Casco tirreno","(Chemnitz 1789)"
"FMS","أُرصوصة دائريَّة","欧洲曼螺","Saburon helmet","Casque saburon","","Casco redondo","(Bruguière 1791)"
"KHR","قِمعِيَّة مُتوسِّطِيَّة","地中海蟹守螺","Mediterranean ceri","Cérite rupestre","","Pada mediterránea","Risso 1826"
"KFM","مرجاني لِماييدورف","粗鳞珊瑚友螺","Meyendorff's coral","Coralliophile de M","","Coralera de Meyend","(Calcara 1845)"
"KMU","سمندل الماء كُتِكل كلاد","波纹嵌螺","Cuticle-clad trito","Triton cutacé","","Triton levantino","(Linnaeus 1767)"
"FSO","مِغزلِيَّة طارُونْط","尖头纺锤螺","Beaked fusus","Fuseau de Tarente","","Huso","(Olivi 1792)"
"FSY","مِغزلِيَّة مُوشَّحة","西西里纺锤螺","Syracusan fusus","Fuseau rubane","","Huso de Siracusa","(Linnaeus 1758)"
