"FIGIS_ID","ISCAAP_ID","NAME_en","NAME_fr","NAME_es","NAME_ar","NAME_cn","NAME_ru","Unit","Scientific.Name","Alpha3.Code","FAOMAP_LAYER_ID","Author"
"19307","1830308104","Bastard sole","Sole-perdrix juive","Acevía senegalesa","","","","t","Microchirus theophila","MZT","","(Risso 1810)"
"19308","1230900102","Chinese icefish","","Pez platino oriental","","","","t","Neosalanx tangkahkeii","XHK","","(Wu 1931)"
"19309","17092019XX","Notothenia nei","Notothenia nca","Notothenia nep","","","","t","Notothenia spp","NXO","",""
"19310","1830804612","","","Falso halibut sudamericano","","","","t","Paralichthys isosceles","YSV","","Jordan 1891"
"16686","2250100402","Red sea mantis shrimp","Squille de la mer rouge","Galera del mar Rojo","عُنصُل البحر الأحمر","红海口虾蛄","","t","Erugosquilla massavensis","OQM","","(Kossmann 1880)"
"16687","2250100202","Japanese squillid mantis shrim","","","","","","t","Oratosquilla oratoria","OQO","","(De Haan 1844)"
"16688","2250100301","Spotted squillid mantis shrimp","","","","","","t","Cloridopsis scorpio","OIR","","(Latreille 1828)"
"16689","2250100401","Smooth squillid mantis shrimp","","","","","","t","Erugosquilla woodmasoni","EQW","","(Kemp 1911)"
"16662","2282900701","Veiled shrimp","Salicoque voilée","Camarón de velete","إيربيان محجوب","弯角膜对虾","","t","Hymenopenaeus aequalis","HMQ","","(Bate 1888)"
"16663","2282907209","Atlantic mud shrimp","Salicoque des vases","Gamba de fango del Atlántico","إيربيان رواسب الأعماق أطلسي","大西洋管鞭虾","","t","Solenocera membranacea","SKM","","Risso 1816"
"16664","2282907210","Comb shrimp","Salicoque peigne","Camarón peine","إيربيان مِشطِية","栉管鞭虾","","t","Solenocera pectinata","SKE","","(Bate 1888)"
"16665","2282907202","African mud shrimp","Solenocère d'Afrique","Camarón fanguero africano","إيربيان رواسِب الأعماق إفريقي","非洲管鞭虾","","t","Solenocera africana","SKF","","Stebbing 1917"
"16667","2282907204","Coastal mud shrimp","Salicoque des vases côtières","Camarón fanguero de orilla","إيربيان الأوحال الشاطِئية","中华管鞭虾","","t","Solenocera crassicornis","SOJ","","H. Milne Edwards 1837"
"16669","2282907206","Guiana mud shrimp","Salicoque guyanaise","Camarón guayanés","إيربيان رواسب الأعماق غوِيان","圭亚内管鞭虾","","t","Solenocera geijskesi","SJK","","Holthuis 1959"
"16671","2282907208","Chinese mud shrimp","Salicoque chinoise de vase","Camarón fanguero chino","إيربيان رواسب الأعماق صيني","凹管鞭虾","","t","Solenocera koelbeli","SKO","","De Man 1911"
"16672","20101XXXXX","Water fleas","Cladocères","Pulgas de agua","بَرْغُوث الماء","溞科","","t","Daphniidae","DNF","",""
"16673","2010100126","","","","","","","t","Daphnia magna","DNM","","Straus 1820"
"16674","2010100127","","","","","","","t","Daphnia pulex","DNX","","Leyding 1860"
"16659","2282802806","Pacific rock shrimp","Boucot du Pacifique","Camarón de piedra del Pacífico","إربيان الصخرة للمحيط الهادئ","太平洋单肢虾","","t","Sicyonia ingentis","YII","","(Burkenroad 1938)"
"17536","3161600703","Sunset razor clam","","","","","","t","Siliqua radiata","IQR","","(Linnaeus 1758)"
"17537","3161600301","Cylindrical razor shell","","","","","","t","Solen cylindraceus","SQD","","Hanley 1843"
"17538","3161600303","Akemate razor shell","","","","","","t","Solen gordonis","SGX","","Yokoyama 1920"
"17539","3161600305","Kemp's razor shell","","","","","","t","Solen kempi","SVK","","Preston 1915"
"17540","3161600306","Malacca razor shell","","","","","","t","Solen malaccensis","SVM","","Dunker 1862"
"17541","3161600308","Pink-spotted razor shell","Couteau à points roses","","","","","t","Solen roseomaculatus","SVU","","Pilsbry 1901"
"17542","3161600309","Rough jackknife","Couteau rude","Navaja ruda","سِكِّين قويَّة","糙壳竹蛏","","t","Solen rudis","SVD","","C.B. Adams 1852"
"17543","3161600310","Gould's razor shell","","","","","","t","Solen strictus","SQV","","Gould 1861"
"17544","3161100703","King venus","","","","","","t","Chione paphia","KNF","","(Linnaeus 1767)"
"17545","3161100704","Stutchbury's venus","","","","","","t","Chione stutchburyi","KNU","","(Wood 1828)"
"3454","2290400101","Red swamp crawfish","Écrevisse rouge de marais","Cangrejo de las marismas","","克氏原螯虾","Рак болотный красный (=рак флоридский красный)","t","Procambarus clarkii","RCW","","(Girard 1852)"
"17646","3164600101","Edible shipworm","Taret comestible","","","","","t","Bactronophorus thoracites","BCQ","","(Gould 1856)"
"17647","3164600201","Siamese shipworm","Taret siamois","","","","","t","Lyrodus pedicellatus","YRK","","(Quatrefages 1849)"
"17648","3164000205","Adanson's tagelus","Tagal d'Adanson","Tagelo de Adanson","تاغال أَدانْسُون","亚当斯截蛏","","t","Tagelus adansonii","GLW","","(Bosc 1801)"
"17649","3161600801","African knife shell","Petit couteau africain","Navaja africana","قوقعة سِكِّين إفريقية","刀蛏","","t","Cultellus tenuis","ULN","","Griffith & Pidgeon 1834"
